                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1453,                0.61294,                0.85812,                0.93998,                0.92754,                 0.9261,                0.56288,                 1.1978,                0.65322,                 0.8615,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2563,                0.61211,                0.85715,                0.93887,                0.92754,                0.92456,                 0.5844,                 1.1769,                0.64113,                0.86024,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1947,                0.58979,                 0.8481,                0.91349,                0.92754,                0.91367,                0.61304,                 1.1254,                0.65567,                0.85109,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1163,                0.58071,                0.85734,                 0.9245,                0.92754,                0.91491,                0.60534,                 1.1516,                0.69475,                0.85941,               0.000713,               0.000713,               0.000713
                     68,                 1.1546,                0.59881,                0.84352,                 0.9252,                0.92754,                  0.917,                0.60708,                 1.1274,                0.65019,                0.86366,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1215,                0.57166,                0.85417,                0.92558,                0.92754,                0.91931,                0.61669,                 1.0949,                 0.6278,                0.85819,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1692,                0.58546,                 0.8565,                0.92531,                0.92754,                  0.925,                0.58951,                 1.1251,                 0.6016,                0.85725,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1577,                0.58834,                0.84751,                0.92633,                0.94203,                0.93532,                0.50655,                 1.3683,                0.67769,                0.87947,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1566,                0.58141,                0.85291,                0.92635,                0.94203,                0.93613,                0.57662,                 1.1954,                0.64825,                 0.8543,               0.000614,               0.000614,               0.000614
                     73,                 1.1966,                0.59091,                0.86962,                0.92656,                0.94203,                0.93622,                0.60108,                 1.1344,                0.64767,                0.84939,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1518,                0.58076,                0.84935,                0.92675,                0.94203,                0.93328,                0.59452,                 1.1607,                0.64878,                 0.8585,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1342,                0.59293,                0.85824,                0.92585,                0.94203,                0.93362,                 0.5854,                 1.1882,                0.64944,                0.85854,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.185,                0.57744,                0.85045,                0.94837,                0.92754,                0.93548,                0.67485,                  1.008,                0.60625,                0.84121,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1237,                0.60586,                0.88603,                0.92706,                0.92108,                0.93445,                0.68103,                0.98942,                0.60627,                0.84083,               0.000515,               0.000515,               0.000515
                     78,                 1.1178,                 0.5642,                0.85724,                0.95499,                0.92259,                0.93605,                0.64548,                 1.0752,                0.62123,                0.85046,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1605,                0.57908,                0.85753,                0.93425,                0.92754,                0.93332,                0.61538,                 1.1681,                0.64438,                0.85815,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1354,                0.56455,                0.85493,                0.95063,                0.89855,                0.92519,                0.66824,                0.99337,                0.60479,                0.83851,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0537,                0.54627,                   0.85,                0.94969,                0.89855,                0.92464,                0.67637,                0.98167,                0.59604,                0.84012,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1964,                0.60584,                0.83989,                0.94923,                0.89855,                0.92672,                0.68324,                0.98734,                0.59153,                0.84476,               0.000416,               0.000416,               0.000416
                     83,                 1.1592,                0.57029,                 0.8507,                0.94057,                0.91753,                0.93037,                0.64022,                 1.0502,                0.61043,                0.84299,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1216,                 0.5705,                0.84363,                0.93816,                0.92754,                0.93094,                0.60394,                 1.1184,                0.62512,                0.84827,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0691,                0.55133,                0.84267,                0.94106,                0.92563,                0.93094,                0.61762,                 1.0891,                 0.6099,                0.84586,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0762,                0.55115,                0.86282,                0.92699,                0.92015,                0.92962,                0.67245,                 1.0068,                0.58876,                0.83935,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0593,                0.54688,                0.84646,                0.92291,                0.91304,                0.92859,                0.67574,                 1.0098,                0.58702,                 0.8406,               0.000317,               0.000317,               0.000317
                     88,                 1.0467,                0.53391,                 0.8476,                0.92751,                0.92716,                0.92807,                0.66722,                 1.0377,                0.58407,                0.83915,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0899,                0.54598,                0.83531,                0.92646,                0.92754,                0.92887,                0.65675,                 1.0512,                0.58001,                0.83981,              0.0002774,              0.0002774,              0.0002774
                     90,                0.99397,                0.53581,                0.84021,                0.92827,                0.93781,                0.93004,                0.65104,                 1.0494,                0.57075,                0.83948,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0413,                0.54772,                0.85227,                0.92633,                0.94203,                0.93063,                 0.6691,                 1.0068,                0.56612,                0.83463,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.054,                0.55691,                0.86665,                0.92595,                0.91304,                0.92775,                0.67651,                0.98605,                0.57273,                0.83532,               0.000218,               0.000218,               0.000218
                     93,                 1.0166,                0.52545,                 0.8439,                0.92823,                0.93723,                0.92681,                0.66404,                 1.0115,                0.57537,                0.83841,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0392,                0.53483,                0.84322,                 0.9144,                0.94203,                0.92405,                0.63666,                 1.0699,                0.57074,                0.84466,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0209,                0.52891,                0.85534,                0.91519,                0.93838,                0.92622,                0.63602,                 1.0851,                0.56966,                0.84403,              0.0001586,              0.0001586,              0.0001586
                     96,                0.99496,                0.52373,                 0.8522,                0.91134,                0.92754,                0.92707,                0.64267,                 1.0718,                0.56954,                0.84096,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0071,                0.51003,                0.84817,                0.91218,                0.92754,                0.92812,                0.64512,                 1.0658,                0.57133,                0.84053,               0.000119,               0.000119,               0.000119
                     98,                 1.0038,                0.52029,                0.84911,                 0.9136,                0.92754,                0.92981,                0.65784,                 1.0475,                 0.5766,                0.83915,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.94134,                 0.4981,                0.84099,                0.91393,                0.92754,                 0.9314,                0.65588,                 1.0439,                0.57863,                0.83899,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0229,                0.51986,                 0.8622,                0.90207,                0.93449,                0.93165,                0.66207,                 1.0557,                0.58184,                0.83862,               5.96e-05,               5.96e-05,               5.96e-05
